应用代码,应用名称,应用类型,公司名称,app大小,版本号,更新时间,评分,下载人数,应用介绍,图标,下载地址,爬取时间
C10912064,C族记忆宫殿,教育,广东潮族实业有限公司,19.87MB,3.2.8,2019-08-05,score_10,5万次,C族记忆宫殿是一款训练记忆力的软件，而记忆宫殿是很多记忆大师必备的技能，如江苏卫视《最强大脑》中的大部分选手。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/2b0a2c053aea46d1b7ff15bf42e77558.png,http://appdlc.hicloud.com/dl/appdl/application/apk/2b/2b0a2c053aea46d1b7ff15bf42e77558/com.gdczu.memory.1908050219.apk?sign=portal@portal1565009459229&source=portalsite&maple=0,2019-08-05
C100967243,娱聊,社交通讯,沈阳零点网络科技有限公司,52.83MB,1.0.0,2019-08-05,score_0,<10000次,娱聊交友，一款融合语音交友、社区互动的应用。在这里，你可以倾听和倾诉，在这里，你能感受到温暖，在这里，你可以找到志同道合的朋友。温暖真实的社区，期待你的加入！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/20ebeb43ff794a7a9ef7f955291dffd5.png,http://appdlc.hicloud.com/dl/appdl/application/apk/20/20ebeb43ff794a7a9ef7f955291dffd5/com.joychat.live.joychat.1908051044.apk?sign=portal@portal1565009461788&source=portalsite&maple=0,2019-08-05
C10765804,扩列,社交通讯,北京扩列科技有限公司,37.24MB,2.6.5-r29,2019-08-05,score_6,45万次,扩关系扩同好，余生请多指教~,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/381276b05b854da8881a24a50d9d023e.png,http://appdlc.hicloud.com/dl/appdl/application/apk/38/381276b05b854da8881a24a50d9d023e/com.Eldard.KuoLie.1908042259.apk?sign=portal@portal1565009462424&source=portalsite&maple=0,2019-08-05
C100760455,挣实惠,购物比价,珠海佰策科技有限公司,24.35MB,1.3.2,2019-08-05,score_10,<10000次,大额优惠券+高额返利=网购省钱利器挣实惠App！海量天猫淘宝隐藏优惠券，领券后下单再想高额返利，通过挣实惠您可享受高达90%的优惠折扣。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/03ab9bb5852c45788a741f35a1a5031c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/03/03ab9bb5852c45788a741f35a1a5031c/cn.zhengshihui.earnbenefit.1908051808.apk?sign=portal@portal1565009463044&source=portalsite&maple=0,2019-08-05
C100387807,中消在线,商务,上海中消网络科技有限公司,25.16MB,3.2.0,2019-08-05,score_10,<10000次,中消在线是一款以“互联网+”思维模式打造的消防资源整合性综合服务平台，本应用通过热点新闻，教育培训，企业名录，审图服务，监督举报，消防百科，中消救援，紧急呼叫这8大版块着力实现行业信息化，传播消防文化，为普通用户提供消防行业热门资讯，科普消防常识，解答日常消防问题，为企业用户提供高效便捷的一站式消防服务：技术咨询、解决方案及培训课程。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/9a10f760aa43495797d2ca242535be24.png,http://appdlc.hicloud.com/dl/appdl/application/apk/9a/9a10f760aa43495797d2ca242535be24/com.zxzx.platform.1908051006.apk?sign=portal@portal1565009463723&source=portalsite&maple=0,2019-08-05
C10245606,体检宝,运动健康,北京嘉嘉康康科技有限公司,19.81MB,5.3.1,2019-08-05,score_10,2197万次,体检宝-通过手机测量血压、视力、心率、听力、情绪、血氧.,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/2888f4cc4c994a7fad8ae2755c074422.png,http://appdlc.hicloud.com/dl/appdl/application/apk/28/2888f4cc4c994a7fad8ae2755c074422/comm.cchong.BloodAssistant.1908051829.apk?sign=portal@portal1565009464405&source=portalsite&maple=0,2019-08-05
C100329169,购物券,购物比价,贵州互利通电子商务有限公司,19.55MB,3.0.3,2019-08-05,score_10,22万次,网上购物，就用购物券！领优惠券再购物立马省钱，还有额外购物返利。购物券app是一款综合性购物软件，通过整合资源，为消费者、代言人、商家，搭建一个互惠、互利的商业生态圈，作为购物券消费者，自用省钱；作为购物券代言人，分享赚钱；作为购物券商家，薄利多销。购物券app适合所有有网上购物需求的人群。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/08577dbc3df14fa7b898755ca11f6e2b.png,http://appdlc.hicloud.com/dl/appdl/application/apk/08/08577dbc3df14fa7b898755ca11f6e2b/com.gouwuquan.tbk.1908042111.apk?sign=portal@portal1565009464920&source=portalsite&maple=0,2019-08-05
C100906391,智慧收银,实用工具,智慧空付（天津）网络科技有限公司,30.54MB,2.2.6,2019-08-05,score_0,<10000次,智慧收银APP为智慧空付（天津）网络科技有限公司研发的一款用于商家，门店线下购物收款工具，为商户门店的营销管理，财务管理等需要提供技术支持。让商户更加方便快捷，让客户线下购物获得更能好的体验。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b9dd9536f5c84211a423352718d67645.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b9/b9dd9536f5c84211a423352718d67645/com.xiangyong.zhihuishanghu.1908011841.apk?sign=portal@portal1565009465558&source=portalsite&maple=0,2019-08-05
C10852840,天天狼人,社交通讯,沈阳美嘉信息科技股份有限公司,70.49MB,4.0.7,2019-08-05,score_10,302万次,在天天狼人，结识可爱的你们！,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/b9c49228a6fd492bb825782c635d5a17.png,http://appdlc.hicloud.com/dl/appdl/application/apk/b9/b9c49228a6fd492bb825782c635d5a17/com.sdbean.werewolf.1908051158.apk?sign=portal@portal1565009466174&source=portalsite&maple=0,2019-08-05
C100943489,康竹商城,购物比价,江苏康竹电子商务有限公司,28.65MB,1.0.2,2019-08-05,score_10,<10000次,康竹商城是一款专业为餐饮行业提供一次性消耗品大型线上商超，产品涵盖一次性餐盒，桌布，刀叉，勺，筷，杯子，吸管，餐巾纸，厨师帽，家庭生活用纸，家居用品等等全系产品，商城提供产品浏览，在线下单，即时配送的最新互联网+实体的新零售模式，为所有客户朋友节约时间，节省购买成本。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/10bad04891a34536939444a153a9c776.png,http://appdlc.hicloud.com/dl/appdl/application/apk/10/10bad04891a34536939444a153a9c776/com.jskangzhu.kzsc.1908041737.apk?sign=portal@portal1565009466921&source=portalsite&maple=0,2019-08-05
