应用代码,应用名称,应用类型,公司名称,app大小,版本号,更新时间,评分,下载人数,应用介绍,图标,下载地址,爬取时间
C100646963,我的访客,社交通讯,武汉九言科技发展有限公司,6.29MB,2.1,2019-07-29,score_9,6万次,我的访客，是一个查看访客的社交数据分析管理工具，主要功能是记录和分析用户动态的被访问数据，分析出用户哪条动态最受欢迎以及谁最关注你；以及动态被点赞、被分享和被转发的次数。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/22c01e2fa3c94d00b72e886b3f2a9380.png,http://appdlc.hicloud.com/dl/appdl/application/apk/22/22c01e2fa3c94d00b72e886b3f2a9380/io.dcloud.H57DCE846.1907271717.apk?sign=portal@portal1564386580831&source=portalsite,2019-07-29
C100884027,夸克链信,社交通讯,重庆仓舟网络科技有限公司,17.63MB,1.0.0,2019-07-29,score_0,<10000次,《夸克链信》是新一代移动互联网社交工具。你可以通过在链信分享自拍和美食美景，快速获得海量陌生人的关注，并能随时同粉丝互动。在夸克链信，毫无经验的移动互联网新人用户也可以很轻松方便的获得大量粉丝的关注与点赞。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/068aeca6b2004f6bae17af9fe547dcff.png,http://appdlc.hicloud.com/dl/appdl/application/apk/06/068aeca6b2004f6bae17af9fe547dcff/cn.kuakelianxin.1907231641.apk?sign=portal@portal1564386581349&source=portalsite,2019-07-29
C100391919,智堡,新闻阅读,上海绎由信息科技有限公司,23.09MB,1.6.0,2019-07-29,score_10,<10000次,智堡Wisburg，一款严肃、透彻地对待宏观经济学的APP。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/1437b048f6b548ad8a7f5cd3e5217baa.png,http://appdlc.hicloud.com/dl/appdl/application/apk/14/1437b048f6b548ad8a7f5cd3e5217baa/com.wisburg.finance.app.1907282136.apk?sign=portal@portal1564386582520&source=portalsite,2019-07-29
C10525499,农财,商务,深圳市芭田生态工程股份有限公司,38.89MB,2.0.2,2019-07-29,score_8,<10000次,农业产业、农业种植提供一站式解决方案，定制化种植标准、专家团队服务，为农户提供测土测叶、田间管理等服务。通过定制化物联网服务于广大种植大户、散户以及农业产业投资者，让人人成为高品质的食物链营养专家~~,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/afd61b4a99874a399103d8ca1cf90fa1.png,http://appdlc.hicloud.com/dl/appdl/application/apk/af/afd61b4a99874a399103d8ca1cf90fa1/com.batian.bigdb.nongcaibao.1907271038.apk?sign=portal@portal1564386583666&source=portalsite,2019-07-29
C10212948,最右,社交通讯,北京小川在线网络技术有限公司,41.06MB,4.10.6,2019-07-29,score_10,1亿次,最右，一个看搞笑短视频的社区,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/f70a2248181f405780658a581ae01fb8.png,http://appdlc.hicloud.com/dl/appdl/application/apk/f7/f70a2248181f405780658a581ae01fb8/cn.xiaochuankeji.tieba.1907261815.apk?sign=portal@portal1564386584230&source=portalsite,2019-07-29
C100690361,法掌柜,便捷生活,法掌柜（广州）网络科技有限公司,19.08MB,1.0,2019-07-29,score_0,<10000次,法掌柜是一款集法律全库免费查询+电商式法律服务于一体的新型互联网平台，您在这个平台上不仅可以轻松、快捷、精准、全面、免费查询到各类法律法规，还可以享受到平价+公益式的精准法律服务，而且所有的法律服务均细化细分并明码标价，所有的法律服务均由平台全程跟进，所有的律师均由平台和知名律师事务所双重精选、且双重监督、双重管理，杜绝律师糊弄，让您明白消费，确保您在平台可以得到“又平又靓”、“既专业又有保障”的全新服务。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/084b532c87944eb195fc64369619957e.png,http://appdlc.hicloud.com/dl/appdl/application/apk/08/084b532c87944eb195fc64369619957e/com.jm.fazhanggui.1907241106.apk?sign=portal@portal1564386584792&source=portalsite,2019-07-29
C10213121,八闽生活,便捷生活,福建福诺移动通信技术有限公司,50.87MB,6.3.0,2019-07-29,score_4,1183万次,八闽生活——福建移动官方服务客户端，为客户提供福建本地优质“通信+生活”服务：,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/663a9dd6cb6642df9bffe5d637d322e8.png,http://appdlc.hicloud.com/dl/appdl/application/apk/66/663a9dd6cb6642df9bffe5d637d322e8/qzyd.speed.nethelper.1907290915.apk?sign=portal@portal1564386585379&source=portalsite,2019-07-29
C100946279,伢儿司机,出行导航,杭州奇驿科技有限公司,54.58MB,1.0.8,2019-07-29,score_0,<10000次,省时省心的一对一孩童上下学专车接送服务，帮助没有时间或时间冲突的爸妈提供接送孩子上下学服务，解决了孩子们自身上下学的出行困难。伢儿座驾“摈弃孩童传统出行要求，推动以互联网创新思维+孩童出行新模式”的核心价值体现，为广大家长、孩子、学校、培训教育带来安全、高效出行接送新方式，与众多孩子实现共成长。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/67a8da8eee4a4d37ab529cab7ecee958.png,http://appdlc.hicloud.com/dl/appdl/application/apk/67/67a8da8eee4a4d37ab529cab7ecee958/com.qiyi.nephewdriver.1907251246.apk?sign=portal@portal1564386585938&source=portalsite,2019-07-29
C100075759,开会宝,商务,北京明道星澜科技发展有限公司,32.30MB,3.1.6,2019-07-29,score_10,12万次,【获得荣誉】,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/ae62a98d46f446da819f479929bd7d1c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/ae/ae62a98d46f446da819f479929bd7d1c/com.kaihuibao.khb.1907270644.apk?sign=portal@portal1564386587068&source=portalsite,2019-07-29
C100872823,南商普惠宝,金融理财,南洋商业银行（中国）有限公司,21.14MB,V1.0.2,2019-07-29,score_0,<10000次,南商普惠宝---支小助农在线融资平台是围绕行业或区域的核心/中心企业，专为农户、个体工商户、小型微型企业或其个人股东研发的在线融资服务平台，为客户提供账户管理、融资管理、档案管理、合同管理等在线一站式金融解决方案。,https://appimg.dbankcdn.com/hwmarket/files/application/icon144/205426826b3441698c75b11a68267e9c.png,http://appdlc.hicloud.com/dl/appdl/application/apk/20/205426826b3441698c75b11a68267e9c/com.zhir.ncb.1907271727.apk?sign=portal@portal1564386587652&source=portalsite,2019-07-29
